abreviacion;palabra
A\.;alteza
\(a\);alias
A\/A;a la atención
aa\. vv\. o AA\. VV\.;autores varios
"Abg\.\; Abg\.do\; Abg\.da";abogado, abogada
a\. C\.;antes de Cristo
a\/c;a cuenta
acept\.;aceptación
A\. D\. o a\. de C\.;anno Dómini (lat.: ‘en el año del Señor’)
admón\.;administración
"adm\.or\; adm\.ora\; admr\.";administrador, administradora
"afmo\.\; afma\; af\.mo\; af\.ma";afectísimo, afectísima
A\. I\.;alteza imperial
Almte\.;almirante
a\. m\.;ante merídiem (lat.: ‘antes del mediodía’)
ap\.;aparte
apdo\.;apartado
A\. R\.;alteza real
Arq\.;arquitecto, -ta
"art\.\; art\.\º";artículo
Arz\.;arzobispo
A\. S\.;alteza serenísima
A\. T\.;Antiguo Testamento
atte\.;atentamente
"atto\.\; atta\.";atento, atenta
"av\.\; avd\.\; avda\.";avenida
Barna\.;Barcelona (ciudad de España)
Bco\.;banco (‘entidad financiera’)
Bibl\.;biblioteca
"Bo\.\; B\.\º";barrio
Brig\.;brigada (‘grado militar’)
Bs\. As\.;Buenos Aires (capital de la Argentina)
c\.;calle (también c\/ y cl.) || capítulo (también cap. y cap.º) || centavo (también cent., ctv. y ctvo.)
c\/;calle (también c. y cl.) || cargo (también cgo.) || cuenta (también cta.)
C\.\ª;compañía (también Cía., C.ía y Comp.)
C\. A\.;compañía anónima || comunidad autónoma [Esp.]
caj\.;caja || cajón
cap\.;capítulo (también c. y cap.\º)
Cap\.;capital || capitán
Cap\. Fed\.;capital federal (también C. F.)
cap\.\º;capítulo (también c. y cap.)
c\. c\.;cédula de ciudadanía
C\. C\.;casilla de correo
c\/c;cuenta corriente (también cta. cte.)
Cdad\.;ciudad
c\. e\.;correo electrónico
cent\. \(pl\. irreg\.: cts\.\);centavo (también c., ctv. y ctvo.) || centésimo
cént\. \(pl\. irreg\.: cts\.\);céntimo
C\. F\.;capital federal (también Cap. Fed.)
cgo\.;cargo (también c/)
ch\/;cheque
C\. I\.;cédula de identidad
"Cía\.\; C\.ía";compañía (también C.ª y Comp.)
