simbolos;etiquetas
😊; felicidad
😀; felicidad
🤣; alegre
😂; alegre
🙂; felicidad
😁; alegre
😄; felicidad
😃; felicidad
😎; felicidad
😇; felicidad
🤠; felicidad
🤗; felicidad
😌; alivio
😍; enamorado
🥰; enamorado
😻; enamorado
😝; alegre
😺; felicidad
🤭; felicidad
😚; felicidad
😆; felicidad
🤩; encantado
😐; neutral
☹️; tristeza
😔; tristeza
😣; tristeza
😖; tristeza
😫; tristeza
😩; tristeza
😪; tristeza
😓; tristeza
😦; tristeza
😧; tristeza
😢; tristeza
😭; desconsuelo
😞; tristeza
😥; tristeza
🤥; mentiroso
😤; enojado
😠; enojado
😡; enojado
🤬; enojado
😷; enfermo
🤒; enfermo 
🤧; enfermo
😮; sorprendido
😱; miedo
🥱; aburrido
😶; neutral
🤔; pensativo
🤨; pensativo
🙄; pensativo
😳; sonrojado
😏; picaria
🥺; ternura
😬; vengüenza
🙃; sarcasmo
🤭; timidez
😮‍💨; alivio
🤦‍♂️; frustración
🤦🏻‍♂️; frustración
🤦🏼‍♂️; frustración
🤦🏽‍♂️; frustración
🤦🏾‍♂️; frustración
🤦🏿‍♂️; frustración
🤦‍♀️; frustración
🤦🏻‍♀️; frustración
🤦🏼‍♀️; frustración
🤦🏽‍♀️; frustración
🤦🏾‍♀️; frustración
🤦🏿‍♀️; frustración
\:\); felicidad
\(\:; felicidad
\:\D; felicidad
\:\(; tristeza
\)\:; tristeza
\:\/; tristeza
\:v; sarcasmo
