,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,1578508637919907840,1578508637919907840,2022-10-07 17:12:41 Hora de verano central (México),2022-10-07,17:12:41,-500,2178153660,oxfamcolombia,Oxfam Colombia,,te invitamos lanzamiento informe😷¡el impacto coviden ampliación brechas desigualdad colombia! 📅 próximo octubre 🕑 pm 🎥 facebook live oxfam colombiaurl ,es,[],[],['https://pbs.twimg.com/media/Fef9PaAWQAIm_XM.jpg'],0,0,1,[],[],https://twitter.com/OxfamColombia/status/1578508637919907840,False,,1,https://pbs.twimg.com/media/Fef9PaAWQAIm_XM.jpg,Colombia,,,,,,[],,,,
1,1578503419962105856,1578497532073635843,2022-10-07 16:51:57 Hora de verano central (México),2022-10-07,16:51:57,-500,3125230079,ana990921,🐖,,username covid,es,[],[],[],0,0,0,[],[],https://twitter.com/ana990921/status/1578503419962105856,False,,0,,Colombia,,,,,,"[{'screen_name': 'Vivirsincuerpo', 'name': 'Pabloween 🎃', 'id': '394174347'}]",,,,
2,1578502737335312384,1578502737335312384,2022-10-07 16:49:14 Hora de verano central (México),2022-10-07,16:49:14,-500,36175685,jjvergaradiaz,JJVergaraDiaz👨🏻‍⚕️🏥,,germany to burn almost million unused covid masks url ,en,[],['https://www.bloomberg.com/news/articles/2022-10-07/germany-to-burn-almost-800-million-unused-covid-masks'],[],0,0,0,[],[],https://twitter.com/JJVergaraDiaz/status/1578502737335312384,False,,0,,Colombia,,,,,,[],,,,
3,1578502469470277633,1578394513567096834,2022-10-07 16:48:10 Hora de verano central (México),2022-10-07,16:48:10,-500,179290390,wwaycorrigan,Wrong Way Corrigan,,"username username there's an erroneous tendency to lump anti-vaxxers in all cases together with those who have refused covid-jab siglo |siguiente (también sig.) there's quite difference which hypocritical covid-vax ""pushers"" often fail to see url#naturalimmunity #covid#vaccinemandates #antivax",en,[],['https://wwcorrigan.blogspot.com/2022/07/death-to-dissenters-its-for-your-own.html'],[],0,0,1,"['naturalimmunity', 'covid19', 'vaccinemandates', 'antivax']",[],https://twitter.com/wwaycorrigan/status/1578502469470277633,False,,0,,Colombia,,,,,,"[{'screen_name': 'ReviewIndo', 'name': 'Irish Independent Review', 'id': '860064427923689473'}, {'screen_name': 'aoifegall', 'name': 'Aoife Gallagher 🏳️\u200d🌈🏳️\u200d⚧️', 'id': '76624810'}]",,,,
4,1578501782988533760,1578501782988533760,2022-10-07 16:45:26 Hora de verano central (México),2022-10-07,16:45:26,-500,234617692,linamarin1119,Lina Marín,,y pensar hace dos años seguíamos prácticamente encerrados esperando vacuna covid,es,[],[],[],0,0,0,[],[],https://twitter.com/LinaMarin1119/status/1578501782988533760,False,,0,,Colombia,,,,,,[],,,,
5,1578488090506956800,1578488090506956800,2022-10-07 15:51:02 Hora de verano central (México),2022-10-07,15:51:02,-500,1733793840,pulzo,Pulzo,,ahora covid-se podría detectar relojes inteligentessegún estudio urlurl ,es,[],['https://www.pulzo.com/tecnologia/covid-19-podria-detectarse-con-relojes-inteligentes-PP2003769A'],['https://pbs.twimg.com/media/FefqjZ_aMAAZzJx.jpg'],0,0,1,[],[],https://twitter.com/pulzo/status/1578488090506956800,False,,1,https://pbs.twimg.com/media/FefqjZ_aMAAZzJx.jpg,Colombia,,,,,,[],,,,
6,1578482797865566208,1578482797865566208,2022-10-07 15:30:00 Hora de verano central (México),2022-10-07,15:30:00,-500,14884514,eeopinion,El Espectador Opinión,,"""'reactívate' programa implementado municipios valle tres cauca atendió personas víctimas emergencia social generada covid- "" urlpormario fernando prado",es,[],['https://bit.ly/3T2tzQh'],[],0,0,2,[],[],https://twitter.com/EEopinion/status/1578482797865566208,False,,0,,Colombia,,,,,,[],,,,
7,1578474991662030848,1578474991662030848,2022-10-07 14:58:59 Hora de verano central (México),2022-10-07,14:58:59,-500,395504925,paoolamatteus,Paoola Matteus 🚴‍♀️🍃,,el covid murió ?,es,[],[],[],0,0,1,[],[],https://twitter.com/PaoolaMatteus/status/1578474991662030848,False,,0,,Colombia,,,,,,[],,,,
8,1578472803136700417,1578472803136700417,2022-10-07 14:50:17 Hora de verano central (México),2022-10-07,14:50:17,-500,1103406636306231296,johnholmes192,John Holmes 19,,fda cdc promueventa dosislas autorizaciones emergencia impulsores bivalentes covid-de pfizer moderna basan resultados preliminares pruebas ratonesy datos siquiera hecho públicos.,es,[],[],[],0,0,0,[],[],https://twitter.com/JohnHolmes192/status/1578472803136700417,False,https://twitter.com/RobertKennedyJr/status/1578465089023201280,0,,Colombia,,,,,,[],,,,
9,1578468874689073154,1578468874689073154,2022-10-07 14:34:40 Hora de verano central (México),2022-10-07,14:34:40,-500,1103406636306231296,johnholmes192,John Holmes 19,,los cdc confirman unidos sufrió aumento veces informes enfermedades cánceres asociados sida después lanzamiento vacuna covid - the expose,es,[],[],[],0,1,1,[],[],https://twitter.com/JohnHolmes192/status/1578468874689073154,False,https://twitter.com/JamieSale/status/1578098393301549056,0,,Colombia,,,,,,[],,,,
